Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007143|510|2025-08-21|COVE257RI0BP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:05|
3992|5007721|510|2025-09-15|COVE257SJ0103|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 14:05:01|
3992|5007464|510|2025-08-25|COVE257SJ55G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:03|
3992|5007394|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:03|
3992|5007727|510|2025-09-09|COVE257SVW8X1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:11:02|
3992|5007266|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:07|
3992|5007468|510|2025-09-12|COVE257SJBI74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:05|
3992|5007783|510|2025-09-16|COVE257SVHVX5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:16:01|
3992|5007117|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:02|
3992|5007830|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:02|
3992|5007348|510|2025-09-08|COVE257SCEUZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:03|
3992|5007115|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:01|
3992|5007478|510|2025-08-28|COVE257SWWQL4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:05|
3992|5007443|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:04|
3992|5007422|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:05|
3992|5007405|510|2025-09-09|COVE257SBTY74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:08|
3992|5007304|510|2025-09-02|COVE257SCAUC7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:03|
3992|5007248|510|2025-09-16|COVE257S8F3D6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 16:58:02|
3992|5007410|510|2025-08-26|COVE257SUIF98|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:12:04|
